File,Type,time,comparisons,exchanges
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\aasc50.dat, ll,0.0,306,153
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\aasc50.dat, qs,0.0009737014770507812,41650,41650
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\aasc50.dat, qs100,0.0,49,0
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\aasc50.dat, qs50,0.0,49,0
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\aasc50.dat, qsm,0.0,3002,2842
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\all_random_60k.dat, ll,0.2999999523162842,1723092,1287286
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\all_random_60k.dat, qs,0.1589813232421875,7818808143,7818808143
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\all_random_60k.dat, qs100,0.21301913261413574,212581684,213437418
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\all_random_60k.dat, qs50,0.15399932861328125,413425102,413784587
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\all_random_60k.dat, qsm,0.11999988555908203,2772236464,2771123628
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\all_same_20K.dat, ll,0.09096860885620117,537512,436535
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\all_same_20K.dat, qs,30.6280300617218,4354269785004,4354269785004
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\all_same_20K.dat, qs100,33.30200672149658,4326655504398,4326655504200
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\all_same_20K.dat, qs50,34.62699341773987,4340601992348,4340601992250
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\all_same_20K.dat, qsm,0.006000518798828125,166647,95596
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\asc10K.dat, ll,0.020015716552734375,138040,69033
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\asc10K.dat, qs,5.589009761810303,333242848499,333242848499
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\asc10K.dat, qs100,5.5589892864227295,328294391150,328294391051
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\asc10K.dat, qs50,5.544973134994507,330793552825,330793552776
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\asc10K.dat, qsm,0.017998933792114258,143373096,143297192
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\asc1K.dat, ll,0.0019986629486083984,10088,5044
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\asc1K.dat, qs,0.05199909210205078,333333000,333333000
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\asc1K.dat, qs100,0.0539705753326416,284039349,284039250
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\asc1K.dat, qs50,0.056000471115112305,308875924,308875875
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\asc1K.dat, qsm,0.0029993057250976562,1018414,1013806
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\asc20K.dat, ll,0.051000356674194336,296058,148043
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\asc20K.dat, qs,23.832998752593994,2666304696999,2666304696999
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\asc20K.dat, qs100,24.949032068252563,2646507625650,2646507625551
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\asc20K.dat, qs50,24.339001178741455,2656506087325,2656506087276
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\asc20K.dat, qsm,0.042967796325683594,573647360,573484720
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\asc2K.dat, ll,0.004001140594482422,22192,11106
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\asc2K.dat, qs,0.22199606895446777,2663049699,2663049699
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\asc2K.dat, qs100,0.21700406074523926,2465483550,2465483451
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\asc2K.dat, qs50,0.21196842193603516,2565205225,2565205176
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\asc2K.dat, qsm,0.004999637603759766,6026464,6013024
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\asc50.dat, ll,0.0,306,153
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\asc50.dat, qs,0.0009999275207519531,41650,41650
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\asc50.dat, qs100,0.0,49,0
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\asc50.dat, qs50,0.0,49,0
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\asc50.dat, qsm,0.0,3002,2842
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\asc500.dat, ll,0.0,4544,2272
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\asc500.dat, qs,0.014000415802001953,41666500,41666500
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\asc500.dat, qs100,0.012972831726074219,29473099,29473000
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\asc500.dat, qs50,0.014031648635864258,35572174,35572125
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\asc500.dat, qsm,0.0010027885437011719,253462,251414
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\asc5K.dat, ll,0.009994983673095703,64008,32004
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\asc5K.dat, qs,1.3389711380004883,41666665000,41666665000
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\asc5K.dat, qs100,1.3070337772369385,40429569349,40429569250
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\asc5K.dat, qs50,1.313999891281128,41054305924,41054305875
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\asc5K.dat, qsm,0.007997274398803711,29492910,29458617
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\dup10K.dat, ll,0.0409998893737793,240824,179493
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\dup10K.dat, qs,0.020999908447265625,161392916,161392916
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\dup10K.dat, qs100,0.02900075912475586,4958772,5104558
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\dup10K.dat, qs50,0.02200031280517578,9256990,9324914
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\dup10K.dat, qsm,0.01899886131286621,135206576,135114444
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\dup1K.dat, ll,0.003970146179199219,17334,12955
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\dup1K.dat, qs,0.0010249614715576172,2144616,2144616
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\dup1K.dat, qs100,0.0030007362365722656,73576,88347
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\dup1K.dat, qs50,0.0070018768310546875,137104,143483
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\dup1K.dat, qsm,0.0020024776458740234,1195690,1189248
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\dup20K.dat, ll,0.08500194549560547,521786,389190
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\dup20K.dat, qs,0.046025753021240234,837406053,837406053
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\dup20K.dat, qs100,0.07300448417663574,23630874,23937942
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\dup20K.dat, qs50,0.04899787902832031,47569436,47708525
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\dup20K.dat, qsm,0.042998313903808594,499459923,499255834
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\dup2K.dat, ll,0.008001327514648438,38828,29017
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\dup2K.dat, qs,0.0039997100830078125,8656551,8656551
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\dup2K.dat, qs100,0.0060002803802490234,270766,300871
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\dup2K.dat, qs50,0.005028486251831055,491363,505606
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\dup2K.dat, qsm,0.003998994827270508,6710420,6693487
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\dup500.dat, ll,0.0010006427764892578,7682,5744
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\dup500.dat, qs,0.0009996891021728516,531695,531695
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\dup500.dat, qs100,0.0009999275207519531,14321,21869
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\dup500.dat, qs50,0.0010006427764892578,29428,32726
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\dup500.dat, qsm,0.000997304916381836,412370,409303
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\dup5K.dat, ll,0.01602792739868164,110648,82470
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\dup5K.dat, qs,0.009975433349609375,49631837,49631837
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\dup5K.dat, qs100,0.01402425765991211,1455624,1525338
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\dup5K.dat, qs50,0.010000228881835938,2917498,2952214
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\dup5K.dat, qsm,0.010007858276367188,35219269,35177169
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\ran10K.dat, ll,0.03600025177001953,240966,179595
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\ran10K.dat, qs,0.01999521255493164,181734201,181734201
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\ran10K.dat, qs100,0.03199958801269531,4963474,5123006
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\ran10K.dat, qs50,0.02297234535217285,10542419,10611468
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\ran10K.dat, qsm,0.021028518676757812,146138926,146052349
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\ran1K.dat, ll,0.003999471664428711,17410,13025
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\ran1K.dat, qs,0.0020279884338378906,2220151,2220151
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\ran1K.dat, qs100,0.002001047134399414,60259,74788
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\ran1K.dat, qs50,0.002001523971557617,121849,128348
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\ran1K.dat, qsm,0.0020024776458740234,1596847,1589424
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\ran20K.dat, ll,0.08496665954589844,521992,389481
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\ran20K.dat, qs,0.045029401779174805,901489814,901489814
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\ran20K.dat, qs100,0.06700372695922852,26247602,26560348
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\ran20K.dat, qs50,0.052969932556152344,52386845,52524526
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\ran20K.dat, qsm,0.05003070831298828,665125846,664939278
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\ran2K.dat, ll,0.009026288986206055,38872,29045
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\ran2K.dat, qs,0.003973960876464844,10319030,10319030
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\ran2K.dat, qs100,0.006031513214111328,297229,328423
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\ran2K.dat, qs50,0.004968404769897461,636109,648105
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\ran2K.dat, qsm,0.004000186920166016,7362595,7348013
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\ran50.dat, ll,0.0,954,644
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\ran50.dat, qs,0.0,10646,10646
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\ran50.dat, qs100,0.0009999275207519531,99,1857
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\ran50.dat, qs50,0.0,109174,109125
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\ran50.dat, qsm,0.0,9656,9070
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\ran500.dat, ll,0.0010020732879638672,7708,5778
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\ran500.dat, qs,0.0009946823120117188,591004,591004
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\ran500.dat, qs100,0.0009992122650146484,12923,20942
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\ran500.dat, qs50,0.002000093460083008,39109,42125
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\ran500.dat, qsm,0.0,330817,328188
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\ran5K.dat, ll,0.01600050926208496,110318,82189
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\ran5K.dat, qs,0.009000062942504883,44151282,44151282
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\ran5K.dat, qs100,0.014002561569213867,1281622,1357833
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\ran5K.dat, qs50,0.01199793815612793,2634160,2668560
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\ran5K.dat, qsm,0.010029077529907227,30432144,30378280
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\rev10K.dat, ll,0.02100396156311035,129216,129216
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\rev10K.dat, qs,5.659968137741089,333333330000,333333330000
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\rev10K.dat, qs100,5.530027627944946,328383981849,328383986700
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\rev10K.dat, qs50,5.4819724559783936,330883593424,330883594600
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\rev10K.dat, qsm,0.017999649047851562,118019926,117945448
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\rev1K.dat, ll,0.0020008087158203125,9864,9864
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\rev1K.dat, qs,0.050005197525024414,333333000,333333000
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\rev1K.dat, qs100,0.0509946346282959,284039349,284044200
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\rev1K.dat, qs50,0.05099916458129883,308875924,308877100
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\rev1K.dat, qsm,0.0009996891021728516,1018414,1013806
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\rev20K.dat, ll,0.045966386795043945,278432,278432
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\rev20K.dat, qs,25.8319993019104,2666666660000,2666666660000
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\rev20K.dat, qs100,26.546998977661133,2646867806849,2646867811700
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\rev20K.dat, qs50,26.65500044822693,2656867168424,2656867169600
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\rev20K.dat, qsm,0.04300189018249512,472188054,472027303
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\rev2K.dat, ll,0.0040318965911865234,21728,21728
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\rev2K.dat, qs,0.2309706211090088,2666666000,2666666000
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\rev2K.dat, qs100,0.23199892044067383,2468921849,2468926700
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\rev2K.dat, qs50,0.22299885749816895,2568733424,2568734600
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\rev2K.dat, qsm,0.005001068115234375,4083806,4073566
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\rev50.dat, ll,0.0,266,266
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\rev50.dat, qs,0.0,41650,41650
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\rev50.dat, qs100,0.0,49,1225
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\rev50.dat, qs50,0.0,49,0
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\rev50.dat, qsm,0.0,3002,2842
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\rev500-1.dat, ll,0.0010004043579101562,4432,4432
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\rev500-1.dat, qs,0.013994932174682617,41666500,41666500
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\rev500-1.dat, qs100,0.01497793197631836,29473099,29477950
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\rev500-1.dat, qs50,0.015026330947875977,35572174,35573350
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\rev500-1.dat, qsm,0.0009882450103759766,253462,251414
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\rev5K.dat, ll,0.008969306945800781,59608,59608
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\rev5K.dat, qs,1.3769981861114502,41666665000,41666665000
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\rev5K.dat, qs100,1.3500001430511475,40429569349,40429574200
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\rev5K.dat, qs50,1.3770043849945068,41054305924,41054307100
D:\John_Hopkins_AI\data_structures\DPevahouseLab4\inputs\rev5K.dat, qsm,0.008996725082397461,29492910,29458617
